#Levels of depth of 16 types of sprites defined in game.;
#Format description:;
#First column: depth level from 0 (farest) to 39 (nearest);
#Second column: sprite type description (don't edit!);
#Tips: leave empty levels between for eyecandies (see also eyecandies.csv);
0;Water
1;Beach
6;Plain
8;Desert
10;Swamp
14;Hill
16;Mountain
18;River
12;Rough
10;Forest Plants
27;Hex Highlight
28;Hex Ownership Highlight
29;Hex Grid
26;City/Fortification
32;Unit
34;Unit In Move
38;Weather
27;Border lines
