COUNTRY,TYPE,UNIT NAME,UNIT NAME2,ARMY-DIV,SIZE,ICON1,ICON2,ATTACK1,ATTACK2,DEFENSE1,DEFENSE2,MOVEMENT1,MOVEMENT2,WHITE STAR,BLACK STAR,YELLOW STAR,BLUE STAR
DE,HQ,Weiss,,2A,,De-hq.svg,,,,,,,,,,,
DE,HQ,Balck,,6A,,De-hq.svg,,,,,,,,,,,
DE-SS,HQ,vonPfeffer,,IX SS,,De-hq.svg,,,,,,,,,,,
DE-SS,HQ,Gille,,IV SS,,De-hq.svg,,,,,,,,,,,
DE,HQ,Harteneck,,I,,De-hq.svg,,,,,,,,,,,
DE,HQ,Breith,,III,,De-hq.svg,,,,,,,,,,,
DE,HQ,Kleemann,,IV,,De-hq.svg,,,,,,,,,,,
DE,HQ,Osterkamp,,XXII,,De-hq.svg,,,,,,,,,,,
DE,HQ,Kirchner,,LVII,,De-hq.svg,,,,,,,,,,,
DE,HQ,Konrad,,LXVIII,,De-hq.svg,,,,,,,,,,,
DE,HQ,Grasser,,LXXII,,De-hq.svg,,,,,,,,,,,
DE-SS,GU,art./IX,,,III,de-art-face-150mm-mot-2.svg,De-art-back-150mm-mot-2.svg,3,0,2,1,0,7,,,,
DE-SS,GU,8,,,III,de-inf-ss-mot.svg,,4,2,,,7,7,,,,
DE-SS,GU,503,,,II,De-kingtiger-2.svg,,6,4,,,8,8,2,2,,
DE-SS,GU,Ney,,,III,De-inf-ss.svg,,4,2,,,4,4,,,,
DE-SS,GU,Dirle.,,,III,de-inf-ss-mot.svg,,3,2,,,7,7,,,,
DE-SS,GU,I/3,,3,II,De-panther-g.svg,,6,4,,,8,8,1,1,,
DE-SS,GU,II/3,,3,II,De-panther-g.svg,,6,4,,,8,8,1,1,,
DE-SS,GU,5,,3,III,de-sdkfz-251-2.svg,,6,4,,,8,8,,,,
DE-SS,GU,6,,3,III,de-sdkfz-251-2.svg,,6,4,,,8,8,,,,
DE-SS,GU,I/5,,5,II,De-panther-g.svg,,6,4,,,8,8,1,1,,
DE-SS,GU,II/5,,5,II,De-panther-g.svg,,6,4,,,8,8,1,1,,
DE-SS,GU,9,,5,III,de-sdkfz-251-2.svg,,6,4,,,8,8,,,,
DE-SS,GU,10,,5,III,de-sdkfz-251-2.svg,,6,4,,,8,8,,,,
DE-SS,GU,6,,8,II,De-stugIV-2.svg,,4,2,,,8,8,,,1,
DE-SS,GU,16,,8,III,De-kav.svg,,4,2,,,6,6,,,,
DE-SS,GU,18,,8,III,De-kav.svg,,4,2,,,6,6,,,,
DE-SS,GU,I/18,,18,II,De-pz4-7.svg,,4,2,,,8,8,,,,
DE-SS,GU,II/18,,18,II,De-pz4-7.svg,,4,2,,,8,8,,,,
DE-SS,GU,39,,18,III,de-sdkfz-251-2.svg,,6,4,,,8,8,,,,
DE-SS,GU,40,,18,III,de-inf-ss-mot.svg,,5,3,,,7,7,,,,
DE-SS,GU,17,,22,III,De-kav.svg,,4,2,,,6,6,,,,
DE-SS,GU,52,,22,III,De-kav.svg,,4,2,,,6,6,,,,
DE-SS,GU,53,,22,III,De-kav.svg,,4,2,,,6,6,,,,
DE-SS,GU,78,,31,III,de-inf-ss-mot.svg,,6,4,,,7,7,,,,
DE-SS,GU,79,,31,III,de-inf-ss-mot.svg,,6,4,,,7,7,,,,
DE-SS,GU,80,,31,III,de-inf-ss-mot.svg,,6,4,,,7,7,,,,
DE,GU,art./6A,,,X,de-art-face-150mm-mot-2.svg,De-art-back-150mm-mot-2.svg,4,0,3,1,7,7,,,,
DE,GU,art./2A,,,X,De-art-wespe-2.svg,,5,0,3,1,7,7,,,,
DE,GU,17,,,X,De-art-face-nebelwerfer-2.svg,De-art-back-nebelwerfer-2.svg,5,0,2,1,0,7,,,,
DE,GU,19,,,X,De-art-face-nebelwerfer-2.svg,De-art-back-nebelwerfer-2.svg,5,0,2,1,0,7,,,,
DE,GU,509,,,II,De-kingtiger-2.svg,,6,4,,,8,8,2,2,,
DE,GU,I/130,,,II,De-panther-g.svg,,5,3,,,8,8,1,1,,
DE,GU,662,,,II,De-jagdpanther-2.svg,,3,2,,,8,8,2,,,
DE,GU,721,,,II,De-jagdpanther-2.svg,,4,2,,,8,8,2,,,
DE,GU,69,,,II,De-stugIV-2.svg,,3,2,,,8,8,,,1,
DE,GU,239,,,X,De-stugIV-2.svg,,3,2,,,8,8,,,1,
DE,GU,303,,,X,De-stugIV-2.svg,,3,2,,,8,8,,,1,
DE,GU,325,,,X,De-stugIV-2.svg,,3,2,,,8,8,,,1,
DE,GU,92,,,X,de-sdkfz-251-2.svg,,4,2,,,8,8,,,,
DE,GU,219,,,X,De-brummbar.svg,,3,2,,,7,7,,,2,
DE,GU,I,,FD,II,De-pz4-7.svg,,4,2,,,8,8,,,,
DE,GU,II,,FD,II,De-pz4-7.svg,,4,2,,,8,8,,,,
